,Company,Role,Location,Date
109,"Arena Investors, LP",SQL Developer - Technology,"Bengaluru, Karnataka, India",2 months ago
110,Genpact,Business Analyst - Data Science-ANA003055,"Bengaluru, Karnataka, India",1 week ago
111,Teamfocus Human Capital Pvt Ltd.,Data & Analytics Lead,"Bangalore Urban, Karnataka, India",4 days ago
112,Genpact,Lead Consultant - Data Analyst-ITO071171,"Bengaluru, Karnataka, India",5 days ago
113,Cyware,Data Engineer,"Bengaluru, Karnataka, India",2 weeks ago
114,Genpact,Business Analyst - Data Science-ANA003052,"Bengaluru, Karnataka, India",2 weeks ago
115,Genpact,Consultant - Data Analytics-CPG045149,"Bengaluru, Karnataka, India",1 week ago
116,Busigence,Aspirant - Data Science & AI,"Bengaluru North, Karnataka, India",6 months ago
117,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),"Bengaluru, Karnataka, India",1 month ago
118,Global Talent Exchange,SQL Developer - Return to India,"Bengaluru, Karnataka, India",5 months ago
119,Fi,Data Operations,"Bengaluru, Karnataka, India",2 weeks ago
120,Computer Ease Limited,Senior Data Analyst,"Bengaluru, Karnataka, India",1 week ago
121,MyYogaTeacher,Sr. Data Analyst,"Bengaluru North, Karnataka, India",5 months ago
122,Genpact,Analyst - MCM & Digital. Analytics-ANA009609,"Bengaluru, Karnataka, India",1 day ago
123,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),"Bengaluru, Karnataka, India",1 month ago
124,Thomson Reuters,Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
125,Genpact,Business Analyst - Data Analyst-ANA008094,"Bengaluru, Karnataka, India",2 weeks ago
126,Genpact,Business Analyst - Data Analyst-ANA007931,"Bengaluru, Karnataka, India",5 days ago
127,Jupiter,Data Analyst III,"Bengaluru, Karnataka, India",3 days ago
128,Novo,Staff Data Analyst,"Bengaluru, Karnataka, India",2 days ago
129,Awign,Data Analyst,"Bengaluru North, Karnataka, India",6 months ago
130,Genpact,Lead Consultant - Data Analyst-ITO071171,"Bengaluru, Karnataka, India",5 days ago
131,Genpact,Consultant - Data Analytics-CPG045149,"Bengaluru, Karnataka, India",1 week ago
132,Genpact,Business Analyst - Data Science-ANA003055,"Bengaluru, Karnataka, India",1 week ago
133,Genpact,Analyst - MCM & Digital. Analytics-ANA009609,"Bengaluru, Karnataka, India",1 day ago
134,Genpact,Business Analyst - Data Science-ANA003052,"Bengaluru, Karnataka, India",2 weeks ago
135,Genpact,Senior Analyst - Data Science-ANA003054,"Bengaluru, Karnataka, India",5 days ago
